,inputs,targets,predictions
757,intralavum,இன்றளவும்,இந்திரவல்
758,indri,இன்றி,இன்றி
759,inri,இன்றி,இன்றி
760,intri,இன்றி,இன்றி
761,indrith,இன்றித்,இந்திரி
762,inrith,இன்றித்,இன்றித்
763,intrith,இன்றித்,இந்திரி
764,indriyum,இன்றியும்,இன்றியும்
765,inriyum,இன்றியும்,இன்றியும்
766,intriyum,இன்றியும்,இன்றியும்
767,ippadai,இப்படை,இப்படை
768,ippatai,இப்படை,இப்படை
769,ipparavai,இப்பறவை,இப்பர்வாய்
770,ipparavaigal,இப்பறவைகள்,இப்பர்வாகிய
771,ipparavaikal,இப்பறவைகள்,இப்பர்வாகிய
772,ippalli,இப்பள்ளி,இப்பல்லி
773,ippalliyil,இப்பள்ளியில்,இப்பலிலில்
774,ippaadhai,இப்பாதை,இப்பாதை
775,ippaathai,இப்பாதை,இப்பாதை
776,ippaadhaiyil,இப்பாதையில்,இப்பாதையில்
777,ippaathaiyil,இப்பாதையில்,இப்பாதையில்
778,ipporutkal,இப்பொருட்கள்,இப்புறோட்ட
779,ippoathaiya,இப்போதைய,இப்போதை
780,ibraahim,இப்ராகிம்,இப்ராஹிம்
781,ibraakim,இப்ராகிம்,இப்ராகிம்
782,ibrahim,இப்ராகிம்,இப்ராம்ஸ்
783,ipraakim,இப்ராகிம்,இப்ராகிம்
784,imayamalaiyin,இமயமலையின்,இமைமாயிலையும்
785,himachala,இமாச்சல,ஹிஷாமல்
786,imaachchala,இமாச்சல,இமாசலை
787,himachalap,இமாச்சலப்,இஹ்சாமல்தோ
788,imaachchalap,இமாச்சலப்,இமாசாந்து
789,immakkal,இம்மக்கள்,இம்மக்கள்
790,iyakkaththaich,இயக்கத்தைச்,இயக்கத்தைச்
791,iyakku,இயக்கு,இயக்கு
792,eiyalpaiyum,இயல்பையும்,இயல்பையும்
793,iyalbaiyum,இயல்பையும்,இயல்பேயும்
794,erattippaaka,இரட்டிப்பாக,இரத்திப்பாக
795,irattippaaga,இரட்டிப்பாக,இரத்திப்பாக
796,irukka,இருக்க,இருக்க
797,koodaathu,இருக்கக்,கூடாது
798,koodadhu,இருக்கக்,கூடது
799,koodum,இருக்கக்,கோடும்
800,kutatu,இருக்கக்,கூட்டு
801,irukkap,இருக்கப்,இருக்கப்
802,irukkavillai,இருக்கவில்லை,இருக்கவில்லை
803,irukkavoa,இருக்கவோ,இருக்காடு
804,irukkumpoathu,இருக்கும்போது,இருக்கும்போது
805,iruchakkara,இருசக்கர,இருக்கச்சர்
806,irusakkara,இருசக்கர,இருச்சாரக்
807,iruppai,இருப்பை,இருப்பை
808,iruppaiyum,இருப்பையும்,இருப்பையும்
809,irumal,இருமல்,இருமல்
810,irumurai,இருமுறை,இரும்பிறய்
811,irumbuth,இரும்புத்,இரும்புத்
812,irumputh,இரும்புத்,இரும்புத்
813,irumbub,இரும்புப்,இரும்புப்
814,irumpup,இரும்புப்,இரும்புப்
815,irugi,இறுகி,இருகி
816,iruki,இறுகி,இருக்கி
817,irugik,இறுகிக்,இருக்கிக்
818,irukik,இறுகிக்,இறுக்கிக்
819,ilakka,இலக்க,இலக்க
820,ilakkam,இலக்கம்,இலக்கம்
821,ilakkin,இலக்கின்,இலக்கின்
822,ilakkil,இலக்கில்,இலக்கில்
823,ilatcha,இலட்ச,இட்டச
824,latcha,இலட்ச,லாட்சா
825,ilatchaththirkum,இலட்சத்திற்கும்,இளத்தச்சிபிருக்கு
826,ilatchiyaththirkum,இலட்சத்திற்கும்,இளட்சையிட்டிரும்
827,latchaththirkum,இலட்சத்திற்கும்,லட்சத்திற்கும்
828,latchiyaththirgum,இலட்சத்திற்கும்,லட்சியத்திற்கும்
829,ilatchumi,இலட்சுமி,இளத்சுமி
830,lakshmi,இலட்சுமி,லச்சிம்
831,latchchumi,இலட்சுமி,லட்சம்
832,illaiyena,இல்லையென,இல்லையன்
833,illaiyenil,இல்லையெனில்,இல்லையின்லி
834,ilamvayathilaeyae,இளம்வயதிலேயே,இளக்கியதாலியே
835,ilamvayathileayea,இளம்வயதிலேயே,இளக்கியபடியல்
836,ilamvayidhilaeyae,இளம்வயதிலேயே,இளக்கிட்டேலியாத்
837,ilanthu,இழந்து,இழந்து
838,izhanththu,இழந்து,இழந்து
839,izhanthu,இழந்து,இழந்து
840,evatrtrukkum,இவற்றுக்கும்,இவற்றுக்குச்
841,ivatrtrukkum,இவற்றுக்கும்,இவற்றுக்கும்
842,ivatrukkum,இவற்றுக்கும்,இவற்றுக்கும்
843,evaa,இவா,ஏவா
844,ivaa,இவா,இவா
845,evai,இவை,இவை
846,ivai,இவை,இவை
847,evaikalaal,இவைகளால்,இவைகளால்
848,ivaikalaal,இவைகளால்,இவைகளால்
849,evaikalil,இவைகளில்,இவைகளில்
850,ivaigalil,இவைகளில்,இவைகளில்
851,evaikalukku,இவைகளுக்கு,இவைகளுக்கு
852,ivaigalukku,இவைகளுக்கு,இவைகளுக்கு
853,evaikalae,இவைகளே,இவைகளே
854,ivaigalae,இவைகளே,இவைகளே
855,evaikalai,இவைகளை,இவைகளை
856,ivaigalai,இவைகளை,இவைகளை
857,evaikalaith,இவைகளைத்,இவைகளைத்
858,ivaigalaith,இவைகளைத்,இவைகளைத்
859,evaithaan,இவைதான்,இவைதான்
860,ivaithaan,இவைதான்,இவைதான்
861,evaiyellaam,இவையெல்லாம்,இவையிலே
862,ivaiyellaam,இவையெல்லாம்,இவையிலே
863,ivvaiyellaam,இவையெல்லாம்,இவ்வேயில்லாம்
864,evaiyae,இவையே,இவையே
865,ivaiyae,இவையே,இவையே
866,ivvaiyae,இவையே,இவ்வையே
867,eesanin,ஈசனின்,ஈஸ்னேன்
868,eesan,ஈசன்,ஈசன்
869,eesal,ஈசல்,ஈஸ்லா
870,eeya,ஈய,ஈயா
871,iiya,ஈய,யாய்
872,iya,ஈய,யாவ்
873,eerppu,ஈர்ப்பு,ஏற்பு
874,ierppu,ஈர்ப்பு,ஈர்ப்பு
875,irppu,ஈர்ப்பு,இர்ப்பு
876,eerppup,ஈர்ப்புப்,ஏற்புப்
877,eerppuvisai,ஈர்ப்புவிசை,ஏப்புணைக்க
878,eeru,ஈறு,ஏறு
879,eerugalai,ஈறுகளை,ஏறுகளை
880,eerukalai,ஈறுகளை,ஏறுகளை
881,eevu,ஈவு,ஏவு
882,evu,ஈவு,ஹவோ
883,ugandha,உகந்த,உகாந்த
884,ukandha,உகந்த,உகாந்த
885,ungantha,உகந்த,உண்கந்த
886,ugandhavai,உகந்தவை,உகவுவாய்
887,ukandhavai,உகந்தவை,உகவுந்தாய்
888,ukanththavai,உகந்தவை,உகந்தவை
889,udalilum,உடலிலும்,உடலிலும்
890,udalil,உடலில்,உடலில்
891,udalai,உடலை,உடலை
892,vittu,உடலை,விட்டு
893,udalaik,உடலைக்,உடலைக்
894,udalnalam,உடல்நலம்,உடல்நலம்
895,udaindhadhu,உடைந்தது,உடைந்தது
896,udainthathu,உடைந்தது,உடைந்தது
897,utkolluthal,உட்கொள்ளுதல்,உவுளைந்தோல்
898,utkollum,உட்கொள்ளும்,உவுளைஞ்
899,utkolvathu,உட்கொள்வது,உவுவத்தல்
900,udpuramaaka,உட்புறமாக,உடுப்பமற்காக
901,utpuramaaga,உட்புறமாக,உறுப்பமற்சி
902,utpuramaaha,உட்புறமாக,உத்துமாராஜ்
903,udpuram,உட்புறம்,உட்பரும்
904,utpuram,உட்புறம்,உட்பரும்
905,unarvaaga,உணர்வாக,உணர்வாக
906,unarvaaka,உணர்வாக,உணர்வாக
907,vagaigalai,உணவு,வகைகளை
908,vagaikalai,உணவு,வகைகளை
909,vakaikalai,உணவு,வகைகளை
910,unavugalil,உணவுகளில்,உணவுகளில்
911,unavukalil,உணவுகளில்,உணவுகளில்
912,unavugalum,உணவுகளும்,உணவுகளும்
913,unavukalum,உணவுகளும்,உணவுகளும்
914,unavugalaich,உணவுகளைச்,உணவுகளைச்
915,unavukalaich,உணவுகளைச்,உணவுகளைச்
916,uanvugalaiyum,உணவுகளையும்,ஒவ்வுலக்குடிய
917,unavugalaiyum,உணவுகளையும்,உணவுகளையும்
918,unavukalaiyum,உணவுகளையும்,உணவுகளையும்
919,unavukkaaga,உணவுக்கான,உணவுக்காக
920,unavukkaana,உணவுக்கான,உணவுக்கான
921,unavuch,உணவுச்,உணவுச்
922,unavudan,உணவுடன்,உணவுடன்
923,unavutan,உணவுடன்,உணவுவான்
924,unda,உண்ட,உண்ட
925,unnda,உண்ட,உண்ண
926,unta,உண்ட,உண்ட
927,undaanadhu,உண்டானது,உண்டானது
928,undaanathu,உண்டானது,உண்டானது
929,untaanathu,உண்டானது,உண்டாந்தோ
930,unththum,உந்தும்,உந்தும்
931,unthum,உந்தும்,உந்தும்
932,uppsala,உப்சாலா,உப்ராஜ்
933,uppsalaa,உப்சாலா,உப்ராஜ்
934,upsala,உப்சாலா,ஊஸ்லா
935,upsalaa,உப்சாலா,ஊர்வாய
936,upsalla,உப்சாலா,ஊஸ்வலா
937,uuppsala,உப்சாலா,ஊப்ராஜ்
938,uuppsalaa,உப்சாலா,ஊப்ராஜா
939,uupsalla,உப்சாலா,ஊஸ்டல்லா
940,uppu,உப்பு,உப்பு
941,uppugalum,உப்புகளும்,உப்புகளும்
942,uppukalum,உப்புகளும்,உப்புகளும்
943,uppum,உப்பும்,ஒப்பும்
944,umathu,உமது,உறத்து
945,umai,உமை,உமை
946,ummaa,உம்மா,உம்மா
947,uyirinamaaga,உயிரினமாக,உயிரிமாகான
948,uyirinamaaka,உயிரினமாக,உயிரிமாகான
949,uyirinam,உயிரினம்,உயிரிமின்
950,uyirmai,உயிர்மை,உயிரம்
951,uyirvaala,உயிர்வாழ,உயின்வாட்
952,uyirvaazha,உயிர்வாழ,உயிர்வாழ்
953,uyirvaalum,உயிர்வாழும்,உயிர்வாலும்
954,uyirvaazhum,உயிர்வாழும்,உயிர்வாலும்
955,uyilil,உயிலில்,ஊழில்
956,uyil,உயில்,ஊழி
957,uriththaana,உரித்தான,உறித்தான
958,urga,உருக,உறக்
959,uruga,உருக,உருக
960,uruka,உருக,உருக
961,urukkiya,உருக்கிய,ஊர்க்குடை
962,uruvappadaththai,உருவப்படத்தை,உருவப்பட்டத்தை
963,uruvappataththai,உருவப்படத்தை,உருவப்பட்டத்தை
964,uruvappadam,உருவப்படம்,உருவப்பட்டு
965,uruvappatam,உருவப்படம்,உருவப்பட்டு
966,uruvaagak,உருவாகக்,உருவாகக்
967,uruvaakak,உருவாகக்,உருவாகக்
968,uruvaagavillai,உருவாகவில்லை,உருவாக்கலில்
969,uruvaakavillai,உருவாகவில்லை,உருவாக்கலில்
970,uruvaagavum,உருவாகவும்,உருவாகவும்
971,uruvaakavum,உருவாகவும்,உருவாகவும்
972,uruvaagiyulla,உருவாகியுள்ள,உருவாகியுள்ள
973,uruvaakkaththin,உருவாக்கத்தின்,உருவாக்கத்தின்
974,uruvaakaththirku,உருவாக்கத்திற்கு,உருவாகத்திற்கு
975,uruvaakkaththirku,உருவாக்கத்திற்கு,உருவாக்கிறத்தும்
976,uruvaakaththilum,உருவாக்கத்திலும்,உருவாகத்திலும்
977,uruvaakkaththilum,உருவாக்கத்திலும்,உருவாக்கத்திலும்
978,uruvaakkappadum,உருவாக்கப்படும்,உருவாக்கப்படும்
979,uruvaakkamum,உருவாக்கமும்,உருவாக்கும்
980,uruvaakkal,உருவாக்கல்,உருவாக்கல்
981,uruvaakkaamal,உருவாக்காமல்,உருவாக்கமால்
982,uruvaakkuvatharku,உருவாக்குவதற்கு,உருவாக்குவதற்கு
983,uruvaakkuvathu,உருவாக்குவது,உருவாக்குவது
984,uraiyaadalgalil,உரையாடல்களில்,உரையாள்களில்டு
985,uraiyaadalkalil,உரையாடல்களில்,உரையாடல்களில்
986,uraiyaatalgalil,உரையாடல்களில்,உரையாடல்களில்
987,uraiyaadalgalai,உரையாடல்களை,உரையாள்களை
988,uraiyaadalkalai,உரையாடல்களை,உரையாள்களை
989,uraiyaatalgalai,உரையாடல்களை,உரையாள்களை
990,urangaamal,உறங்காமல்,உறங்காமல்
991,urangkaamal,உறங்காமல்,உறங்காமல்
992,kondirundha,உறங்கிக்,கொண்டிருந்த
993,kontirunta,உறங்கிக்,கொண்டிருந்த
994,kontiruntha,உறங்கிக்,கொண்டிருந்த
995,uravaaga,உறவாக,உறவாக
996,uravaaka,உறவாக,உறவாக
997,urudhiyaana,உறுதியான,உறுதியான
998,uruthiyaana,உறுதியான,உறுதியான
999,urudhiyaanathum,உறுதியானதும்,உறுதியானதும்
1000,uruthiyaanathum,உறுதியானதும்,உறுதியானதும்
1001,uruppu,உறுப்பு,உறுப்பு
1002,uruppugalin,உறுப்புகளின்,உறுப்புகளின்
1003,uruppugalukku,உறுப்புகளுக்கு,உறுப்புக்கொல்குச்
1004,uruppugalukkum,உறுப்புகளுக்கும்,உறுப்புக்கொள்ளும்
1005,uruppugalaiyum,உறுப்புகளையும்,உறுப்புக்களையும்
1006,uruppugal,உறுப்புகள்,உறுப்புகள்
1007,uruppukku,உறுப்புக்கு,உறுப்புக்கு
1008,uruppukkum,உறுப்புக்கும்,உறுப்புக்கும்
1009,uruppum,உறுப்பும்,உறுப்பும்
1010,ulaginai,உலகினை,உலகினை
1011,ulakinai,உலகினை,உலகினை
1012,ulagaip,உலகைப்,உலகைப்
1013,vaanoordhi,உலங்கு,வானூர்தி
1014,vaanoorthi,உலங்கு,வானூர்தி
1015,vaanuurthi,உலங்கு,வான்முத்தி
1016,vaanuurti,உலங்கு,வான்மூத்
1017,vanurti,உலங்கு,வான்ராத்
1018,varukindrana,உலா,வருகின்றன
1019,varukinrana,உலா,வருகினர்
1020,uloom,உலூம்,உளும்
1021,ulum,உலூம்,உலும்
1022,ulladakka,உள்ளடக்க,உள்ளடக்க
1023,ullatakka,உள்ளடக்க,உள்ளடக்க
1024,ulladakkamum,உள்ளடக்கமும்,உள்ளடக்கமும்
1025,ullatakkamum,உள்ளடக்கமும்,உள்ளடக்கமும்
1026,ulladakkum,உள்ளடக்கும்,உள்ளடக்கும்
1027,ullatakkum,உள்ளடக்கும்,உள்ளடக்கும்
1028,ullirunththu,உள்ளிருந்து,உளிரிந்துத்
1029,ullirunthu,உள்ளிருந்து,உள்ளிருந்து
1030,ulvaanggiya,உள்வாங்கிய,உள்வாங்கிய
1031,ulvaangkiya,உள்வாங்கிய,உள்வாங்கிய
1032,ulvaankiya,உள்வாங்கிய,உள்வாங்கிய
1033,ulaippukku,உழைப்பு,உழைப்புக்கு
1034,ulaipputhaan,உழைப்பு,உழைப்புதான்
1035,uzhaippukku,உழைப்பு,உழைப்புக்கு
1036,oodaka,ஊடக,ஊடாக
1037,udaka,ஊடக,உடக
1038,uudaaka,ஊடக,ஊடாக
1039,uudaka,ஊடக,ஊடாக
1040,oodagaththil,ஊடகத்தில்,ஊடகத்தில்
1041,oodakaththil,ஊடகத்தில்,ஊடகத்தில்
1042,udagaththil,ஊடகத்தில்,உதகத்தில்
1043,uudakaththil,ஊடகத்தில்,ஊடகத்தில்
1044,oodagaththai,ஊடகத்தை,ஊடகத்தை
1045,oodakaththai,ஊடகத்தை,ஊடகத்தை
1046,udagaththai,ஊடகத்தை,உதகத்தை
1047,uudakaththai,ஊடகத்தை,ஊடகத்தை
1048,oodagap,ஊடகப்,ஊடகப்
1049,oodakap,ஊடகப்,ஊடகப்
1050,uudagap,ஊடகப்,ஊடகப்
1051,uudakap,ஊடகப்,ஊடகப்
1052,oodagam,ஊடகம்,ஊடகம்
1053,uoodagam,ஊடகம்,ஊடாக்கம்
1054,uudakam,ஊடகம்,ஊடகம்
1055,oothaa,ஊதா,ஓபாதா
1056,uuthaa,ஊதா,உதா
1057,ooraga,ஊரக,ஊராக
1058,uooraga,ஊரக,ஊராக
1059,uuraaka,ஊரக,ஊராக
1060,oorae,ஊரே,ஊரே
1061,uurae,ஊரே,ஊரே
1062,oorvalamaaga,ஊர்வலமாக,ஊர்வளமாக
1063,oorvalamaaka,ஊர்வலமாக,ஊர்வளமாக
1064,uurvalamaaka,ஊர்வலமாக,ஊர்வளமாக
1065,expo,எக்ஸ்போ,எஸ்கப்
1066,yekspoa,எக்ஸ்போ,எக்கிபா
1067,enggo,எங்கோ,எங்கு
1068,engkoa,எங்கோ,எங்காக
1069,enkoa,எங்கோ,எங்கோ
1070,esuppaaniya,எசுப்பானிய,இசுப்பானியம்
1071,yesuppaaniya,எசுப்பானிய,இசுபாலிமை
1072,enchchi,எஞ்சி,எஞ்சி
1073,enchi,எஞ்சி,எண்சி
1074,enjgi,எஞ்சி,எண்சி
1075,enchin,எஞ்சின்,என்சின்
1076,engine,எஞ்சின்,எண்கின்
1077,edukkappadaamal,எடுக்கப்படாமல்,எடுக்கப்படாமல்
1078,yedukkappadaamal,எடுக்கப்படாமல்,எடுக்கப்படாமல்
1079,ettappadum,எட்டப்படும்,ஏட்டப்படும்
1080,etttappadum,எட்டப்படும்,ஏட்டப்படும்
1081,ettaavathu,எட்டாவது,ஏட்டவாது
1082,ettiyathu,எட்டியது,எட்டியது
1083,yettiyathu,எட்டியது,ஏட்டியது
1084,ennikkai,எண்ணிக்கை,எண்ணிக்கை
1085,yennikkai,எண்ணிக்கை,எண்ணிக்கை
1086,ennikkaiyaana,எண்ணிக்கையான,எண்ணிக்கையான
1087,ennikkaiyilum,எண்ணிக்கையிலும்,எண்ணிக்கையிலும்
1088,ennikkaiyil,எண்ணிக்கையில்,எண்ணிக்கையில்
1089,ethargaaka,எதற்காக,ஏதராகக்
1090,etharkaaga,எதற்காக,ஏதராகக்
1091,etharkaaka,எதற்காக,ஏதராகக்
1092,ethiraali,எதிராளி,எதிராலி
1093,ethiraaliyin,எதிராளியின்,எதிராளியின்
1094,edhirkka,எதிர்க்க,எதிர்க்க
1095,ethirkka,எதிர்க்க,எதிர்க்க
1096,yedhirkka,எதிர்க்க,எதிர்க்க
1097,edhirkkavillai,எதிர்க்கவில்லை,எதிர்க்கவில்லை
1098,ethirkkavillai,எதிர்க்கவில்லை,எதிர்க்கவில்லை
1099,yedhirkkavillai,எதிர்க்கவில்லை,எதிர்க்கவில்லை
1100,edhikkavum,எதிர்க்கவும்,எதிக்கவும்
1101,ethirkkavum,எதிர்க்கவும்,எதிர்க்கவும்
1102,yedhirkkavum,எதிர்க்கவும்,எதிர்க்கவும்
1103,edhirkaamal,எதிர்க்காமல்,எதிர்காமல்
1104,ethirkkaamal,எதிர்க்காமல்,எதிர்க்காமல்
1105,yedhirkaamal,எதிர்க்காமல்,எதிர்காமல்
1106,yedhirkkaamal,எதிர்க்காமல்,எதிர்க்காமல்
1107,edhirpaarppu,எதிர்பார்ப்பு,எதிர்பர்ப்பு
1108,ethirpaarppu,எதிர்பார்ப்பு,எதிர்பர்ப்பு
1109,edhirpaarppugal,எதிர்பார்ப்புகள்,எதிர்பருவது
1110,ethirpaarppugal,எதிர்பார்ப்புகள்,எதிர்பருவது
1111,ethirpaarppukal,எதிர்பார்ப்புகள்,எதிர்பருவது
1112,edhuvaaga,எதுவாக,எதுவாக
1113,ethuvaaka,எதுவாக,எத்வுகா
1114,yedhuvaaga,எதுவாக,ஏதுவாக
1115,einid,எனிட்,எனிட்
1116,enid,எனிட்,எண்டி
1117,eniid,எனிட்,எணித்
1118,eynid,எனிட்,என்டி
1119,iinid,எனிட்,இணைடு
1120,inid,எனிட்,இண்டி
1121,iniid,எனிட்,இணிட்
1122,iynid,எனிட்,இணைடு
1123,yenid,எனிட்,எண்டி
1124,enin,எனின்,என்னி
1125,amili,எமிலி,அமிலி
1126,amily,எமிலி,அமிலி
1127,emeli,எமிலி,மேனி
1128,emely,எமிலி,மேன்யே
1129,emile,எமிலி,அமில்ல்
1130,emili,எமிலி,எம்லின்
1131,emilie,எமிலி,அமிலே
1132,emilii,எமிலி,எம்லில்
1133,emily,எமிலி,எம்லின்
1134,imili,எமிலி,இம்லி
1135,imilii,எமிலி,இம்ளி
1136,imily,எமிலி,இம்லி
1137,yemili,எமிலி,ஐமிலி
1138,eytha,எய்த,ஏத
1139,yeitha,எய்த,யாத்த
1140,eythi,எய்தி,எத்தி
1141,yeithi,எய்தி,எத்தி
1142,eythum,எய்தும்,ஏதும்
1143,yeithum,எய்தும்,ஏதும்
1144,erinththu,எரிந்து,எரிந்து
1145,erinthu,எரிந்து,எரிந்து
1146,yerinthu,எரிந்து,எரிந்து
1147,erinththu,எறிந்து,எரிந்து
1148,erinthu,எறிந்து,எரிந்து
1149,yerinththu,எறிந்து,எரிந்து
1150,elaktraankal,எலக்ட்ரான்கள்,இளக்கர்ளான்
1151,electronkal,எலக்ட்ரான்கள்,எலிமாட்டிங்கா
1152,yekaltraankal,எலக்ட்ரான்கள்,இயந்தாளர்கள்
1153,elimaiyaaka,எளிமையாக,எளிமையாக
1154,yelimaiyaaga,எளிமையாக,எளிமையாக
1155,yelimaiyaaka,எளிமையாக,எளிமையாக
1156,elimaiyaakak,எளிமையாகக்,எளிமையாகக்
1157,yelimaiyaagak,எளிமையாகக்,எளிமையாகக்
1158,yelimaiyaakak,எளிமையாகக்,எளிமையாகக்
1159,el,எள்,எல்
1160,yel,எள்,எல்
1161,yell,எள்,எல்
1162,ezhuthiyulla,எழுதியுள்ள,எழுதியுள்ள
1163,yeluthiyulla,எழுதியுள்ள,எழுதியுள்ள
1164,ezhuthiyullathu,எழுதியுள்ளது,எழுதியுள்ளது
1165,yeluthiyullathu,எழுதியுள்ளது,எழுதியுள்ளது
1166,ezhuthiyullanar,எழுதியுள்ளனர்,எழுதியுள்ளனர்
1167,yeluthiyullanar,எழுதியுள்ளனர்,எழுதியுள்ளனர்
1168,evarukkum,எவருக்கும்,இவருக்கும்
1169,yavarukkum,எவருக்கும்,இவருக்கும்
1170,evarumae,எவருமே,இவருமே
1171,yavarumae,எவருமே,இவாருமே
1172,eavar,எவர்,ஏவர்
1173,evar,எவர்,இவர்
1174,ever,எவர்,ஏவர்
1175,ewer,எவர்,எவர்
1176,ivir,எவர்,இவிர்
1177,yavar,எவர்,யாவர்
1178,yevar,எவர்,ஏவர்
1179,evvitha,எவ்வித,இவ்வித
1180,yavvitha,எவ்வித,இவ்வித
1181,evvithak,எவ்விதக்,இவ்விதக்
1182,yavvithak,எவ்விதக்,இவ்விழக்
1183,evvithaththilum,எவ்விதத்திலும்,இவ்விதத்திலும்
1184,yavvithaththilum,எவ்விதத்திலும்,இவ்வளத்திலும்
1185,evvithamaana,எவ்விதமான,இவ்விதமான
1186,yavvithamaana,எவ்விதமான,இவ்விழாம்பம்
1187,eavvitham,எவ்விதம்,ஏவிவதும்
1188,evvitham,எவ்விதம்,இவ்விதம்
1189,yavvitham,எவ்விதம்,இவ்விழா
1190,aegapoaka,ஏகபோக,ஏக்கோபாக
1191,aekapoaka,ஏகபோக,ஏக்கோபாக
1192,eekapoaka,ஏகபோக,இயக்போகு
1193,ekapoaka,ஏகபோக,இக்கோபாக
1194,aekapoagam,ஏகபோகம்,ஏகபோகும்
1195,aekapoakam,ஏகபோகம்,ஏகபோக்கும்
1196,eekapoakam,ஏகபோகம்,இயக்போகும்
1197,ekapoakam,ஏகபோகம்,இக்போகும்
1198,aengchal,ஏஞ்சல்,ஏன்சல்
1199,angel,ஏஞ்சல்,அங்கெல்
1200,aanai,ஏனை,ஆனை
1201,aenai,ஏனை,ஏனை
1202,yaenai,ஏனை,யானை
1203,april,ஏப்ரல்,ஆப்ரில்
1204,aprill,ஏப்ரல்,ஆப்ரெல்
1205,eepral,ஏப்ரல்,ஏப்ரல்
1206,epril,ஏப்ரல்,ஏப்ரில்
1207,aeriya,ஏறிய,ஏரிய
1208,eeriya,ஏறிய,ஏறிய
1209,eriya,ஏறிய,எரிய
1210,yeeriya,ஏறிய,ஏறிய
1211,aerkanavae,ஏற்கனவே,ஏற்கணவே
1212,earkanavae,ஏற்கனவே,ஏற்கணவே
1213,eerkanavae,ஏற்கனவே,ஏற்கணவே
1214,erkanavae,ஏற்கனவே,இற்கணவே
1215,aerpadak,ஏற்படக்,ஏற்படக்
1216,yerpadak,ஏற்படக்,ஏற்படக்
1217,yerpadk,ஏற்படக்,ஏற்பட்டி
1218,aerpadakkoodaathu,ஏற்படக்கூடிய,ஏற்படக்கூடாது
1219,yerpadakkoodiya,ஏற்படக்கூடிய,ஏற்பாடக்கூடிய
1220,aerpadavillai,ஏற்படவில்லை,ஏப்பட்டாவில்லை
1221,yerpadavillai,ஏற்படவில்லை,ஏப்பிட்டாவில்
1222,aerpadavum,ஏற்படவும்,ஏற்படவும்
1223,yerpadavum,ஏற்படவும்,ஏற்படவும்
1224,aerpadavae,ஏற்படவே,ஏற்பட்டாக்
1225,yerpadavae,ஏற்படவே,ஏப்பல்வாட்
1226,yerpadave,ஏற்படவே,ஏப்பல்வே
1227,aerpadaatha,ஏற்படாத,ஏற்பாட்டா
1228,earpadaatha,ஏற்படாத,ஏற்பாட்டா
1229,yerpadaatha,ஏற்படாத,ஏற்படாத
1230,aerpadaamal,ஏற்படாமல்,ஏற்படாமல்
1231,earpadaamal,ஏற்படாமல்,ஏற்பாடலம்
1232,erpadaamal,ஏற்படாமல்,ஏற்பாடாமல்
1233,aerpaduthal,ஏற்படுதல்,ஏற்படுத்தல்
1234,earpaduthal,ஏற்படுதல்,ஏற்படுத்தல்
1235,yerpaduthal,ஏற்படுதல்,ஏற்படுத்தல்
1236,aerpadum,ஏற்படும்,ஏற்படும்
1237,yaerpadum,ஏற்படும்,ஏற்படும்
1238,yerpadum,ஏற்படும்,ஏற்படும்
1239,aerpaduvatharku,ஏற்படுவதற்கு,ஏற்படுவதற்கு
1240,yaerpaduvatharku,ஏற்படுவதற்கு,ஏற்படுவதற்கு
1241,yerpaduvatharku,ஏற்படுவதற்கு,ஏற்படுவதற்கு
1242,aerpaduvathudan,ஏற்படுவதுடன்,ஏற்படுவதுவர்
1243,yaerpaduvathudan,ஏற்படுவதுடன்,ஏற்படுவதுவர்
1244,yerpaduvathudan,ஏற்படுவதுடன்,ஏற்படுவதுவர்
1245,aetrtru,ஏற்று,ஏற்று
1246,eattru,ஏற்று,ஏற்று
1247,eetrtru,ஏற்று,ஏற்று
1248,etrtru,ஏற்று,ஏற்று
1249,aetrtrukkondathu,ஏற்றுக்கொண்டது,ஏற்றுக்கொண்டது
1250,eattrukkondathu,ஏற்றுக்கொண்டது,ஏற்றுக்கொண்டது
1251,aetrtrukkondanar,ஏற்றுக்கொண்டனர்,ஏற்றுக்கொண்டனர்
1252,eattrukkondanar,ஏற்றுக்கொண்டனர்,ஏற்றுக்கொண்டனர்
1253,aetrtrukkondu,ஏற்றுக்கொண்டு,ஏற்றுக்கொண்டு
1254,eattrukkondu,ஏற்றுக்கொண்டு,ஏற்றுக்கொண்டு
1255,aetrtrup,ஏற்றுப்,ஏற்றுப்
1256,aettrup,ஏற்றுப்,ஏற்றுப்
1257,eetrtrup,ஏற்றுப்,ஏற்றுப்
1258,etrtrup,ஏற்றுப்,ஏற்றுப்
1259,aelakiri,ஏலகிரி,ஏழ்க்கையில்
1260,ealagiri,ஏலகிரி,ஏழகிறி
1261,elakiri,ஏலகிரி,இளக்கிறி
1262,yaelagiri,ஏலகிரி,ஏழகிறி
1263,yaelakiri,ஏலகிரி,ஏழகிற்கி
1264,yelagiri,ஏலகிரி,எழக்கிறி
1265,ainaa,ஐநா,ஏன
1266,ayna,ஐநா,அய்னா
1267,aynaa,ஐநா,ஆண்டா
1268,ina,ஐநா,இனா
1269,inaa,ஐநா,இனா
1270,odeesee,ஒடிசி,ஓடிசே
1271,odeesey,ஒடிசி,ஓடிசை
1272,odeessei,ஒடிசி,ஓடிசேசி
1273,odeessey,ஒடிசி,ஓடிசேசி
1274,odici,ஒடிசி,டெஸ்
