,inputs,targets,predictions
1564,kalloorikalum,கல்லூரிகளும்,கல்லூறிகளும்
1565,kallurigalum,கல்லூரிகளும்,கல்லுறிகளும்
1566,kallurigazhum,கல்லூரிகளும்,கல்லுறிகளும்
1567,kallurikalum,கல்லூரிகளும்,கல்லுறிகளும்
1568,kallurikazhum,கல்லூரிகளும்,கல்லுறிகளும்
1569,kallooriyaaga,கல்லூரியாக,கல்லூறியாக
1570,kallooriyaga,கல்லூரியாக,கல்லூறியாக
1571,kalluriyaga,கல்லூரியாக,கல்லுறியாக
1572,kalluriyaka,கல்லூரியாக,கல்லுறியாக
1573,kallooriyilum,கல்லூரியிலும்,கல்லொரியிலும்
1574,kalluriyilum,கல்லூரியிலும்,கல்லுறியிலும்
1575,muraiyil,கல்வி,முறையில்
1576,kalvikkaaga,கல்விக்காக,கல்விக்காக
1577,kalvikkaga,கல்விக்காக,கல்விக்காக
1578,kalvikkaka,கல்விக்காக,கல்விக்காக
1579,kalvikkaana,கல்விக்கான,கல்விக்கான
1580,kalvikkana,கல்விக்கான,கல்விக்கான
1581,kalvippani,கல்விப்பணி,கல்விப்பணி
1582,kalviyaandu,கல்வியாண்டு,கல்வியாண்டு
1583,kalviyilum,கல்வியிலும்,கல்வியிலும்
1584,kalviyum,கல்வியும்,கல்வியும்
1585,kalviyae,கல்வியே,கல்வியே
1586,kalviye,கல்வியே,கல்வியே
1587,kalviyoadu,கல்வியோடு,கல்வியோடு
1588,kalviyodu,கல்வியோடு,கல்வியொடு
1589,kalalai,கழலை,கல்லை
1590,kazhalai,கழலை,களளை
1591,kalutai,கழுதை,கழுடை
1592,kaluthai,கழுதை,கழுதை
1593,kazhudhai,கழுதை,கழுதை
1594,kavalai,கவலை,கவலை
1595,kavali,கவலை,கவளி
1596,kavalaippadum,கவலைப்படும்,கவலைப்படும்
1597,kavalaippatum,கவலைப்படும்,கவலைப்படும்
1598,kavalaiyae,கவலையே,கவலையே
1599,kavalaiye,கவலையே,கவலையே
1600,kavalaiyee,கவலையே,கவலையீ
1601,kavalaiyai,கவலையை,கவலையை
1602,cofee,காஃபி,காபி
1603,coffee,காஃபி,காபி
1604,kaahpi,காஃபி,காப்பி
1605,kaattup,காட்டுப்,காட்டுப்
1606,kaattuyir,காட்டுயிர்,காட்டுசிற்
1607,kaattuvadhaaga,காட்டுவதாக,காட்டுவதாக
1608,kaattuvadhaga,காட்டுவதாக,காட்டுவதாக
1609,kaattuvathaaga,காட்டுவதாக,காட்டுவதாக
1610,kaangiradhu,காண்கிறது,காங்கிரது
1611,kaangirathu,காண்கிறது,காங்கிறது
1612,kaankirathu,காண்கிறது,காங்கிறது
1613,kaangiraan,காண்கிறான்,காங்கிரான்
1614,kaankiraan,காண்கிறான்,காங்கிரான்
1615,kaangiraar,காண்கிறார்,காங்கிறார்
1616,kaankiraar,காண்கிறார்,காங்கிறார்
1617,kaanbiththadhu,காண்பித்தது,காண்பித்தது
1618,kaanbiththathu,காண்பித்தது,காண்பித்தது
1619,kaanpiththathu,காண்பித்தது,காண்பித்தது
1620,kaanbiththaar,காண்பித்தார்,காண்பித்தார்
1621,kaanbithththaar,காண்பித்தார்,காண்பித்தார்
1622,kaanpiththaar,காண்பித்தார்,காண்பித்தார்
1623,kaathalukku,காதலுக்கு,காதலுக்கு
1624,kathalukku,காதலுக்கு,காதலுக்கு
1625,kaathin,காதின்,காதீன்
1626,kathin,காதின்,காத்தின்
1627,kaathil,காதில்,காதில்
1628,kathil,காதில்,காதில்
1629,kaathirundha,காத்திருந்த,காத்திருந்த
1630,kaathiruntha,காத்திருந்த,காத்திருந்த
1631,kaaththiruntha,காத்திருந்த,காத்திருந்த
1632,kaatthiruntha,காத்திருந்த,காத்திருந்த
1633,kaapoolil,காபூலில்,காப்போலில்
1634,kabulil,காபூலில்,கபூலில்
1635,kaapaatrik,காப்பாற்றிக்,காப்பாற்றிக்
1636,kaappaatrik,காப்பாற்றிக்,காப்பாற்றிக்
1637,kaappaatrtrik,காப்பாற்றிக்,காப்பாற்றிக்
1638,kaappeedu,காப்பீடு,காப்பீடு
1639,kappeedu,காப்பீடு,காப்பீடு
1640,kaappuk,காப்புக்,காப்புக்
1641,kappuk,காப்புக்,கப்புக்
1642,kaaranangalukkaaga,காரணங்களுக்காக,காரணங்களுக்காக
1643,kaaranangalukkaaka,காரணங்களுக்காக,காரணங்களுக்காக
1644,karananggalukkaaka,காரணங்களுக்காக,காரணங்களுக்காக
1645,kaaranaththaith,காரணத்தைத்,காரணத்தைத்
1646,kaaranattait,காரணத்தைத்,காரணத்தைத்
1647,kaaranatthait,காரணத்தைத்,காரணத்தைத்
1648,karanaththaith,காரணத்தைத்,காரணத்தைத்
1649,kaaranamaakac,காரணமாகச்,காரணமாகச்
1650,kaaranamaakach,காரணமாகச்,காரணமாகச்
1651,karanamaakach,காரணமாகச்,காரணமாகச்
1652,kaaranamaagattan,காரணமாகத்தான்,காரணமாகத்தன்
1653,kaaranamaakaththaan,காரணமாகத்தான்,காரணமாகத்தான்
1654,kaaranamaakattan,காரணமாகத்தான்,காரணமாகத்தன்
1655,karanamaakaththaan,காரணமாகத்தான்,காரணமாகத்தான்
1656,kaaranamaagap,காரணமாகப்,காரணமாகப்
1657,kaaranamaakap,காரணமாகப்,காரணமாகப்
1658,karanamaakap,காரணமாகப்,காரணமாகப்
1659,kaaranamaagavum,காரணமாகவும்,காரணமாகவும்
1660,kaaranamaakavum,காரணமாகவும்,காரணமாகவும்
1661,karanamaakavum,காரணமாகவும்,காரணமாகவும்
1662,kaaranamaagave,காரணமாகவே,காரணமாகவே
1663,kaaranamaakave,காரணமாகவே,காரணமாகவே
1664,karanamaakave,காரணமாகவே,காரணமாகவே
1665,kaaranamaagum,காரணமாகும்,காரணமாகும்
1666,kaaranamaakum,காரணமாகும்,காரணமாகும்
1667,karanamaakum,காரணமாகும்,காரணமாகும்
1668,kaari,காரி,காரி
1669,cargalin,கார்களின்,சர்களின்
1670,cargazhin,கார்களின்,சர்காஜின்
1671,kargalin,கார்களின்,கற்களின்
1672,karkalin,கார்களின்,கற்களின்
1673,cargal,கார்கள்,சர்கள்
1674,kaargal,கார்கள்,கார்கள்
1675,kaarkal,கார்கள்,கார்கள்
1676,cork,கார்க்,கார்க்
1677,corka,கார்க்,சார்க்க
1678,corq,கார்க்,கார்க்
1679,corqa,கார்க்,சார்க்
1680,garg,கார்க்,கார்க்
1681,kaarg,கார்க்,கார்க்
1682,kaark,கார்க்,கார்க்
1683,kark,கார்க்,கார்க்
1684,kork,கார்க்,குராக்
1685,qorq,கார்க்,குராக்
1686,carson,கார்சன்,கர்சன்
1687,kaarsan,கார்சன்,காரசன்
1688,karson,கார்சன்,கரசன்
1689,gardan,கார்டன்,கார்டியன்
1690,garden,கார்டன்,கார்ட்டின்
1691,kaardan,கார்டன்,கார்ட்டன்
1692,kaartan,கார்டன்,கார்ட்டன்
1693,kardan,கார்டன்,கார்டியன்
1694,kaarthikeyan,கார்த்திகேயன்,கார்த்திக்கன்
1695,kaartikeeyan,கார்த்திகேயன்,கார்த்திக்கன்
1696,karthikeeyan,கார்த்திகேயன்,கார்த்திக்கியன்
1697,karthikeyan,கார்த்திகேயன்,கார்த்திக்கன்
1698,cornar,கார்னர்,கார்ணர்
1699,corner,கார்னர்,கர்னர்
1700,kaarnar,கார்னர்,கார்ணர்
1701,carlo,கார்லோ,கானோ
1702,carloo,கார்லோ,கேனோ
1703,karloo,கார்லோ,கர்லோ
1704,caarloos,கார்லோஸ்,சார்லோஸ்
1705,caarlos,கார்லோஸ்,சார்லோஸ்
1706,carloos,கார்லோஸ்,கர்லோஸ்
1707,carlos,கார்லோஸ்,கர்லோஸ்
1708,karloos,கார்லோஸ்,கர்லோஸ்
1709,karlos,கார்லோஸ்,கர்லோஸ்
1710,qarlos,கார்லோஸ்,கர்லோஸ்
1711,kaatrin,காற்றின்,காற்றின்
1712,katrin,காற்றின்,காற்றின்
1713,kaattrae,காற்றே,காற்றே
1714,kaattre,காற்றே,காற்றே
1715,katre,காற்றே,காற்றியார்
1716,kaalakattangalil,காலகட்டங்களில்,காலகட்டங்களில்
1717,kalakattangalil,காலகட்டங்களில்,கலகத்தங்களில்
1718,kalakattanggalil,காலகட்டங்களில்,கலகத்தங்களில்
1719,kalakattankalil,காலகட்டங்களில்,கலகத்தங்களில்
1720,kaalakattaththilum,காலகட்டத்திலும்,காலகட்டத்திலும்
1721,kalakattaththilum,காலகட்டத்திலும்,கழகத்தத்திலும்
1722,kaalakattaththil,காலகட்டத்தில்,காலகட்டத்தில்
1723,kalakattaththil,காலகட்டத்தில்,காலக்கட்டத்தில்
1724,colonygalai,காலணிகளை,கொலனிகளை
1725,kaalanigalai,காலணிகளை,காலநிகளை
1726,kaalanikalai,காலணிகளை,காலநிகளை
1727,colonygal,காலணிகள்,கோலனிகள்
1728,kaalanigal,காலணிகள்,காலநிகள்
1729,kaalanikal,காலணிகள்,காலநிகள்
1730,kaalaththai,காலத்தை,காலத்தை
1731,kaalattai,காலத்தை,காலத்தை
1732,kaalatthai,காலத்தை,காலத்தை
1733,kaalaththaich,காலத்தைச்,காலத்தைச்
1734,kaalattaic,காலத்தைச்,காலத்தைச்
1735,kaalatthaic,காலத்தைச்,காலத்தைச்
1736,kaalamae,காலமே,காலமே
1737,kaalame,காலமே,காலமி
1738,kaalamee,காலமே,காலமி
1739,kaalaandil,காலாண்டில்,காலாண்டில்
1740,kaalaantil,காலாண்டில்,காலாண்டில்
1741,kaalin,காலின்,காலின்
1742,kaaliya,காலியா,காளிய
1743,kaaliyaa,காலியா,காளியா
1744,kaavalthuraik,காவல்துறைக்,காவல்துறைக்
1745,kaavalturaik,காவல்துறைக்,காவல்துறைக்
1746,kaavalthuraip,காவல்துறைப்,காவல்துறைப்
1747,kavalthuraip,காவல்துறைப்,கவல்துறைப்
1748,kavalturaip,காவல்துறைப்,கவல்துறைப்
1749,kaavalthuraiyaal,காவல்துறையால்,காவல்துறையால்
1750,kaavalturaiyaal,காவல்துறையால்,காவல்துறையால்
1751,kidakkiradhu,கிடக்கிறது,கிடக்கிறது
1752,kidakkirathu,கிடக்கிறது,கிடக்கிறது
1753,kitakkirathu,கிடக்கிறது,கிடக்கிறது
1754,kitakkiratu,கிடக்கிறது,கிடக்கிறது
1755,kidangku,கிடங்கு,கிடங்கு
1756,kidangu,கிடங்கு,கிடங்கு
1757,kidanku,கிடங்கு,கிடங்கு
1758,kitanku,கிடங்கு,கிடங்கு
1759,kidandha,கிடந்த,கிடந்த
1760,kidanta,கிடந்த,கிடண்ட
1761,kidantha,கிடந்த,கிடந்த
1762,kitanta,கிடந்த,கிடண்ட
1763,kitantha,கிடந்த,கிடந்த
1764,kidandhanar,கிடந்தனர்,கிடந்தனர்
1765,kidanthanar,கிடந்தனர்,கிடந்தனர்
1766,kitantanar,கிடந்தனர்,கிடாண்டனர்
1767,vaendiya,கிடைக்க,கொடுக்க
1768,vaendum,கிடைக்க,நிறுவ
1769,vendia,கிடைக்க,கொடுக்க
1770,vendum,கிடைக்க,நீக்க
1771,ventiya,கிடைக்க,கொடுக்க
1772,ventum,கிடைக்க,நிறுவ
1773,kidaikkak,கிடைக்கக்,கிடைக்கக்
1774,kidaikkakk,கிடைக்கக்,கிடைக்கக்
1775,kidaikkakkoodiya,கிடைக்கக்கூடிய,கிடைக்கக்கூடிய
1776,kidaikkakkudiya,கிடைக்கக்கூடிய,கிடைக்கக்கிடிய
1777,kidaikkakudiya,கிடைக்கக்கூடிய,கிடைக்களிய
1778,kidaikkavillai,கிடைக்கவில்லை,கிடைக்கவில்லை
1779,kadaikkaadhadhaal,கிடைக்காததால்,கடைக்காத்ததால்
1780,kidaikkaadhadhaal,கிடைக்காததால்,கிடைக்காததால்
1781,kidaikkaathathaal,கிடைக்காததால்,கிடைக்காத்தால்
1782,kidaikkadhadhaal,கிடைக்காததால்,கிடைக்கதாலால்
1783,kidaikkaadhu,கிடைக்காது,கிடைக்காது
1784,kidaikkaathu,கிடைக்காது,கிடைக்காது
1785,kidaikkaatu,கிடைக்காது,கிடைக்காடு
1786,kitaikkaathu,கிடைக்காது,கிடைக்காது
1787,kitaikkaatu,கிடைக்காது,கிடைக்காடு
1788,kidaikkindra,கிடைக்கின்ற,கிடைக்கின்ற
1789,kidaikkinra,கிடைக்கின்ற,கிடைக்கின்ற
1790,kitaikkinra,கிடைக்கின்ற,கிடைக்கின்ற
1791,ginniyaa,கிண்ணியா,கினியா
1792,guinea,கிண்ணியா,கினியா
1793,kinniya,கிண்ணியா,கின்யிய
1794,kinniyaa,கிண்ணியா,கின்யா
1795,cuba,கியூபா,சுபா
1796,cubaa,கியூபா,சுபா
1797,cuuba,கியூபா,சபா
1798,cuubaa,கியூபா,சுபா
1799,kiuba,கியூபா,கிபா
1800,kiubaa,கியூபா,கிபா
1801,kiuuba,கியூபா,கிபோ
1802,kiuubaa,கியூபா,கிபோ
1803,kyuba,கியூபா,கிபா
1804,kyubaa,கியூபா,கிபா
1805,kyuuba,கியூபா,கிபா
1806,kyuubaa,கியூபா,கிபா
1807,qiuba,கியூபா,கிபா
1808,qiubaa,கியூபா,கிபா
1809,qyuba,கியூபா,கிபா
1810,qyubaa,கியூபா,கிபா
1811,cubavil,கியூபாவில்,கப்பாவில்
1812,kiyoobaavil,கியூபாவில்,கியோபாவில்
1813,kiyoopaavil,கியூபாவில்,கியோபாவில்
1814,kearan,கிரண்,கதரன்
1815,keeran,கிரண்,கீரான்
1816,kiiran,கிரண்,கத்தின்
1817,kiran,கிரண்,கிரான்
1818,kirann,கிரண்,கிரான்
1819,kyran,கிரண்,கிரான்
1820,qeeran,கிரண்,கீரான்
1821,qiiran,கிரண்,கத்திரன்
1822,qiran,கிரண்,கிரான்
1823,qirann,கிரண்,கிரான்
1824,qyran,கிரண்,கிரான்
1825,graand,கிராண்ட்,கிராண்ட்
1826,graind,கிராண்ட்,கிராம்ட்
1827,grand,கிராண்ட்,கிராண்ட்
1828,grend,கிராண்ட்,கிரண்ட்
1829,kirand,கிராண்ட்,கிராண்ட்
1830,kirubai,கிருபை,கிருபை
1831,kirubhai,கிருபை,கிருப்பை
1832,kirupai,கிருபை,கிருப்பை
1833,kirishthavarkalin,கிறித்தவர்களின்,கிறிஸ்தவர்களின்
1834,kiriththavargalin,கிறித்தவர்களின்,கிறித்தவர்களின்
1835,kiritthavarkalin,கிறித்தவர்களின்,கிறித்தவர்களின்
1836,kiriththavargalum,கிறித்தவர்களும்,கிறித்தவர்களும்
1837,kiriththavarkalum,கிறித்தவர்களும்,கிறித்தவர்களும்
1838,kiritthavarkalum,கிறித்தவர்களும்,கிறித்தவர்களும்
1839,kirirththavargal,கிறித்தவர்கள்,கிறித்தவர்கள்
1840,kiriththavargal,கிறித்தவர்கள்,கிறித்தவர்கள்
1841,kiriththavarkal,கிறித்தவர்கள்,கிறித்தவர்கள்
1842,kilovukku,கிலோவுக்கு,கிளோவுக்கு
1843,clive,கிளைவ்,கிளி
1844,cliwe,கிளைவ்,குளி
1845,kilaiv,கிளைவ்,கிளை
1846,kilive,கிளைவ்,கைலிவே
1847,kilar,கிழார்,கிளார்
1848,kizhaar,கிழார்,கிழார்
1849,kizhar,கிழார்,கிழார்
1850,geets,கீட்ஸ்,கீட்டஸ்
1851,keat,கீட்ஸ்,கேட்
1852,keats,கீட்ஸ்,கேட்டீன்
1853,keet,கீட்ஸ்,கேட்
1854,keets,கீட்ஸ்,கீட்டஸ்
1855,kets,கீட்ஸ்,காட்டஸ்
1856,kiids,கீட்ஸ்,கிட்டிஸ்
1857,kiits,கீட்ஸ்,கிட்டிஸ்
1858,kits,கீட்ஸ்,கிட்ஸ்
1859,kyts,கீட்ஸ்,கிட்ஸ்
1860,qeat,கீட்ஸ்,கேட்
1861,qeats,கீட்ஸ்,கேட்டீன்
1862,qiits,கீட்ஸ்,கிட்டிஸ்
1863,qyts,கீட்ஸ்,கிட்ஸ்
1864,geethanjali,கீதாஞ்சலி,கீதஞ்சலி
1865,keethanjali,கீதாஞ்சலி,கீதஞ்சலி
1866,geet,கீதை,கிட்
1867,geeta,கீதை,கீட
1868,geethai,கீதை,கீதை
1869,giit,கீதை,கிட்
1870,giitaa,கீதை,கிடா
1871,git,கீதை,கிட்
1872,gita,கீதை,கிடா
1873,geethaiyil,கீதையில்,கீதையில்
1874,geethayil,கீதையில்,கீதையில்
1875,keelirangi,கீழிறங்கி,கீழிநர்கி
1876,keelirangki,கீழிறங்கி,கீழிறங்கி
1877,keeliranki,கீழிறங்கி,கீழிறங்கி
1878,keezhiranggi,கீழிறங்கி,கீழிறங்கி
1879,keezhirangi,கீழிறங்கி,கீழிறங்கி
1880,keezhiranki,கீழிறங்கி,கீழிறங்கி
1881,kudandhai,குடந்தை,குடந்தை
1882,kudanthai,குடந்தை,குடந்தை
1883,kudippalakkam,குடிப்பழக்கம்,குடிப்பாக்கம்
1884,kudippazhakkam,குடிப்பழக்கம்,குடிப்பழக்கம்
1885,kudai,குடை,குடை
1886,kuday,குடை,குடை
1887,kutay,குடை,குடை
1888,kudaindhdhu,குடைந்து,குடைந்து
1889,kudaindhu,குடைந்து,குடைந்து
1890,kudainthu,குடைந்து,குடைந்து
1891,kudayndhu,குடைந்து,குடைந்து
1892,kutaynthu,குடைந்து,குடைந்து
1893,kudaiyin,குடையின்,குடையின்
1894,kudayyin,குடையின்,குடையின்
1895,kutayyin,குடையின்,குடையின்
1896,kudaiyil,குடையில்,குடையில்
1897,kudayyil,குடையில்,குடையில்
1898,kutayyil,குடையில்,குடையில்
1899,good,குட்,காட்
1900,goodd,குட்,கோட்
1901,goud,குட்,காட்
1902,gouud,குட்,காட்
1903,gud,குட்,காட்
1904,gudd,குட்,காட்
1905,guud,குட்,காட்
1906,kud,குட்,காட்
1907,gunamaa,குணமா,குணமா
1908,kunamaa,குணமா,குணமா
1909,kuyili,குயிலி,குயிலி
1910,kurudhik,குருதிக்,குருத்திக்
1911,kuruthik,குருதிக்,குறுத்திக்
1912,kuruvi,குருவி,குறுவி
1913,guruviyin,குருவியின்,குருவியின்
1914,kuriviyin,குருவியின்,குறிவியின்
1915,kuruviyin,குருவியின்,குருவியின்
1916,kurdhu,குர்து,குறுத்து
1917,kurdu,குர்து,குறை
1918,kurthu,குர்து,குறுத்து
1919,kurichchi,குறிச்சி,குறிச்சி
1920,kurichi,குறிச்சி,குறிச்சி
1921,guru,குறு,குரு
1922,kuru,குறு,குரு
1923,kurukkup,குறுக்குப்,குறுக்குப்
1924,kurukkum,குறுக்கும்,குறுக்கும்
1925,kuruvai,குறுவை,குறுவை
1926,kuraindhavargal,குறைந்தவர்கள்,குறைந்தவர்கள்
1927,kuraindhdhavargal,குறைந்தவர்கள்,குறைந்தவர்கள்
1928,kurainthavarkal,குறைந்தவர்கள்,குறைந்தவர்கள்
1929,kuraindavai,குறைந்தவை,குறைந்தவை
1930,kuraindhdhavai,குறைந்தவை,குறைந்தவை
1931,kurainthavai,குறைந்தவை,குறைந்தவை
1932,kuraindhaal,குறைந்தால்,குறைந்தால்
1933,kuraindhdhaal,குறைந்தால்,குறைந்தால்
1934,kurainthaal,குறைந்தால்,குறைந்தால்
1935,kuraindhae,குறைந்தே,குறைந்தே
1936,kuraindhe,குறைந்தே,குறைந்தே
1937,kuraindhey,குறைந்தே,குறைந்தே
1938,kurainthae,குறைந்தே,குறைந்தே
1939,kulanggalin,குளங்களின்,குழங்களின்
1940,kulangkalin,குளங்களின்,குழங்களின்
1941,kulanggalum,குளங்களும்,குழங்களும்
1942,kulangkalum,குளங்களும்,குழங்களும்
1943,kulanggalai,குளங்களை,குழங்களை
1944,kulangkalai,குளங்களை,குழங்களை
1945,kulanggalaiyum,குளங்களையும்,குழங்களையும்
1946,kulangkalaiyum,குளங்களையும்,குழங்களையும்
1947,kulanggal,குளங்கள்,குலங்கள்
1948,kulangkal,குளங்கள்,குலங்கள்
1949,kulaththirku,குளத்திற்கு,குழத்திற்கு
1950,kulatthirku,குளத்திற்கு,குலத்திற்கு
1951,kulaththu,குளத்து,குளத்து
1952,kulatthu,குளத்து,குளத்து
1953,kulaththukku,குளத்துக்கு,குலத்துக்கு
1954,kulatthukku,குளத்துக்கு,குலத்துக்கு
1955,kulaththai,குளத்தை,குலத்தை
1956,kulaththi,குளத்தை,குலத்தி
1957,kulatthai,குளத்தை,குலத்தை
1958,kulamum,குளமும்,குழமும்
1959,veentum,குளிக்க,வீண்டும்
1960,vendum,குளிக்க,நீக்க
1961,ventum,குளிக்க,நிறுவ
1962,kuliththa,குளித்த,குளித்த
1963,kuliththalai,குளித்தலை,குளித்தலை
1964,kuliththal,குளித்தல்,குளித்தல்
1965,kuliththu,குளித்து,குளித்து
1966,kulithu,குளித்து,குளித்து
1967,kulirchchi,குளிர்ச்சி,குளிர்ச்சி
1968,kulumai,குளுமை,குழுமை
1969,kulandhaai,குழந்தாய்,குழந்தாய்
1970,kulanthaai,குழந்தாய்,குழந்தாய்
1971,kulanthai,குழந்தாய்,குழந்தை
1972,kuzhandhaai,குழந்தாய்,குழந்தாய்
1973,kuzhandhaay,குழந்தாய்,குழந்தாய்
1974,kuzhanthaai,குழந்தாய்,குழந்தாய்
1975,kuzhanthai,குழந்தாய்,குழந்தை
1976,kulukkal,குழுக்கள்,குலுக்கல்
1977,kuzhukkal,குழுக்கள்,குழுக்கள்
1978,kuva,குவா,குவா
1979,kuvaa,குவா,குவா
1980,kuwaa,குவா,குவா
1981,kuantam,குவாண்டம்,குண்டம்
1982,kuantum,குவாண்டம்,குண்டும்
1983,kuantumm,குவாண்டம்,குணாட்டும்
1984,kuvandam,குவாண்டம்,குவண்டம்
1985,kvantam,குவாண்டம்,குண்ண
1986,kwantam,குவாண்டம்,குண்ண
1987,quantam,குவாண்டம்,குண்டம்
1988,quantum,குவாண்டம்,குணாட்டும்
1989,quantumm,குவாண்டம்,குணாட்டும்
1990,quuantam,குவாண்டம்,குண்டம்
1991,quuantuum,குவாண்டம்,குண்டும்
1992,quuantuumm,குவாண்டம்,குண்டும்
1993,qwantam,குவாண்டம்,குண்ண
1994,kuvindhadhu,குவிந்தது,குவிந்தது
1995,kuvindhathu,குவிந்தது,குவிந்தது
1996,kuvintatu,குவிந்தது,குவிந்தது
1997,kuvinthathu,குவிந்தது,குவிந்தது
1998,kuvindhu,குவிந்து,குவிந்து
1999,kuvinthu,குவிந்து,குவிந்து
2000,kuvintu,குவிந்து,குவிந்து
2001,ggo,கூ,கோகோ
2002,ggoo,கூ,கோகோ
2003,goo,கூ,கூ
2004,gu,கூ,குக்
2005,guu,கூ,கூ
2006,kuu,கூ,கூ
2007,koodaadhu,கூடாது,கூடாது
2008,koodaathu,கூடாது,கூடாது
2009,koodadhu,கூடாது,கூடாது
2010,koodathu,கூடாது,கூடாது
2011,koodich,கூடிச்,கோடிச்
2012,koodugalil,கூடுகளில்,கோடுகளில்
2013,koodukalil,கூடுகளில்,கோடுகளில்
2014,kuudukalil,கூடுகளில்,கூடுகளில்
2015,kuutukalil,கூடுகளில்,கூடுகளில்
2016,koodumaana,கூடுமான,கூடுமான
2017,kuudumaana,கூடுமான,கூடுமான
2018,kuutumaana,கூடுமான,கூடுமான
2019,koodum,கூடும்,கூடும்
2020,kuudum,கூடும்,கூடும்
2021,kuutum,கூடும்,கூடும்
2022,koottangalin,கூட்டங்களின்,கூட்டங்களின்
2023,kuuttangalin,கூட்டங்களின்,கூட்டங்களின்
2024,kuuttankalin,கூட்டங்களின்,கூட்டங்களின்
2025,koottangalukku,கூட்டங்களுக்கு,கூட்டங்களுக்கு
2026,kuttangalukku,கூட்டங்களுக்கு,குட்டங்களுக்கு
2027,kuuttangalukku,கூட்டங்களுக்கு,கூட்டங்களுக்கு
2028,kuuttankalukku,கூட்டங்களுக்கு,கூட்டங்களுக்கு
2029,koottangalai,கூட்டங்களை,கூட்டங்களை
2030,kuuttangalai,கூட்டங்களை,கூட்டங்களை
2031,kuuttankalai,கூட்டங்களை,கூட்டங்களை
2032,koottangalaiyum,கூட்டங்களையும்,கூட்டங்களையும்
2033,kuuttangalaiyum,கூட்டங்களையும்,கூட்டங்களையும்
2034,kuuttankalaiyum,கூட்டங்களையும்,கூட்டங்களையும்
2035,koottangal,கூட்டங்கள்,கூட்டங்கள்
2036,kuuttangal,கூட்டங்கள்,கூட்டங்கள்
2037,kuuttankal,கூட்டங்கள்,கூட்டங்கள்
2038,koottath,கூட்டத்,கூட்டத்
2039,kuuttat,கூட்டத்,கூட்டத்
2040,kuuttath,கூட்டத்,கூட்டத்
2041,koottaththin,கூட்டத்தின்,கோட்டத்தின்
2042,kuutattin,கூட்டத்தின்,கூடத்தின்
2043,kuuttattin,கூட்டத்தின்,கூட்டத்தின்
2044,koottaththai,கூட்டத்தை,கூட்டத்தை
2045,koottatthai,கூட்டத்தை,கூட்டத்தை
2046,koottaththaith,கூட்டத்தைத்,கூட்டத்தைத்
2047,koottatthaith,கூட்டத்தைத்,கூட்டத்தைத்
2048,kuuttattait,கூட்டத்தைத்,கூட்டத்தி
2049,kuuttattaith,கூட்டத்தைத்,கூட்டத்தி
2050,koottappatta,கூட்டப்பட்ட,கூட்டப்பட்ட
2051,kuutapata,கூட்டப்பட்ட,கூடப்பட்ட
2052,kuuttappatta,கூட்டப்பட்ட,கூட்டப்பட்ட
2053,koottamum,கூட்டமும்,கூட்டமும்
2054,kuutamum,கூட்டமும்,கூடமும்
2055,kuuttamum,கூட்டமும்,கூட்டமும்
2056,koottam,கூட்டம்,கோட்டம்
2057,kuutam,கூட்டம்,கூடம்
2058,kuuttam,கூட்டம்,கூட்டம்
2059,koottavum,கூட்டவும்,கூட்டவும்
2060,kuutavum,கூட்டவும்,கூடவும்
2061,kuuttavum,கூட்டவும்,கூட்டவும்
2062,koottaaka,கூட்டாக,கூட்டாக
2063,koottaga,கூட்டாக,கூட்டாக
2064,kuuttaaga,கூட்டாக,கூட்டாக
2065,kuuttaaka,கூட்டாக,கூட்டாக
2066,koottudhal,கூட்டுதல்,கூட்டுதல்
2067,koottuthal,கூட்டுதல்,கூட்டுதல்
2068,kootudhal,கூட்டுதல்,கூட்டுதல்
2069,kooththu,கூத்து,கூட்டு
2070,kootthu,கூத்து,கூட்டு
2071,kuuthu,கூத்து,கேட்டு
2072,kuuttu,கூத்து,கூட்டு
2073,kooraiyil,கூரையில்,கூறையில்
2074,koorappatta,கூறப்பட்ட,கூறப்பட்ட
2075,kuurapatta,கூறப்பட்ட,கூறப்பட்ட
2076,kuurappatta,கூறப்பட்ட,கூறப்பட்ட
2077,koorappattirukkum,கூறப்பட்டிருக்கும்,கூறப்பட்டிருக்கும்
2078,kuurappatirukkum,கூறப்பட்டிருக்கும்,கூறப்பட்டிருக்கும்
2079,kuurappattirukkum,கூறப்பட்டிருக்கும்,கூறப்பட்டிருக்கும்
2080,koorappattu,கூறப்பட்டு,கூறப்பட்டு
2081,kuurapattu,கூறப்பட்டு,கூறப்பட்டு
2082,kuurappattu,கூறப்பட்டு,கூறப்பட்டு
2083,kooravum,கூறவும்,கூறவும்
2084,kuuravum,கூறவும்,கூறவும்
2085,kooraamal,கூறாமல்,கூறாமல்
2086,kuuraamal,கூறாமல்,கூறாமல்
2087,koorai,கூறை,கூறை
2088,cool,கூல்,கூல்
2089,cul,கூல்,குல்
2090,kool,கூல்,கூழ்
2091,kul,கூல்,குல்
2092,kuul,கூல்,குல்
2093,qool,கூல்,கூழ்
2094,qul,கூல்,குல்
2095,kedukkum,கெடுக்கும்,கெடுக்கும்
2096,kedum,கெடும்,கெடும்
2097,calvin,கெல்வின்,கல்வின்
2098,calwin,கெல்வின்,கல்வின்
2099,kaelvin,கெல்வின்,கேள்வின்
2100,kalvin,கெல்வின்,கல்வின்
